Label,TrainCount,ValCount,TestCount
Adipose_GTEx,696,258,250
Artery_GTEx,799,263,273
BLCA_TCGA,188,50,62
BRCA_METASTATIC,86,19,40
BRCA_TCGA,186,57,57
Brain_GTEx,1490,465,490
Breast_GTEx,286,89,84
CESC_TCGA,171,64,64
COAD_METASTATIC,56,12,35
COAD_TCGA,158,59,82
Colon_GTEx,453,153,173
Esophagus_GTEx,856,285,304
HNSC_METASTATIC,3,1,0
HNSC_TCGA,196,58,45
Heart_GTEx,498,182,181
KIRC_TCGA,175,61,63
Kidney_GTEx,45,18,22
LGG_TCGA,184,65,50
LIHC_TCGA,180,58,61
LUAD_METASTATIC,17,4,20
LUAD_TCGA,172,69,58
Liver_GTEx,134,55,37
Lung_GTEx,338,125,115
Minor_GTEx,89,36,37
Muscle_GTEx,478,161,164
Nerve_GTEx,374,119,126
Ovary_GTEx,120,30,30
PAAD_METASTATIC,30,7,25
PAAD_TCGA,109,41,29
PRAD_TCGA,172,63,64
Pancreas_GTEx,191,69,68
Pituitary_GTEx,163,61,59
Prostate_GTEx,138,54,53
SKCM_METASTATIC,11,3,0
SKCM_TCGA,185,62,52
STAD_METASTATIC,4,2,0
STAD_TCGA,189,54,56
Skin_GTEx,766,263,276
Small_GTEx,106,37,44
Spleen_GTEx,137,53,51
Stomach_GTEx,211,70,78
THCA_TCGA,172,65,62
Testis_GTEx,210,69,82
Thyroid_GTEx,396,130,127
UCEC_METASTATIC,8,1,0
UCEC_TCGA,183,50,66
Uterus_GTEx,89,27,26
Vagina_GTEx,98,26,32
Whole_GTEx,453,151,151
